grafo,versao_algoritmo,rodada,tempo_execucao,qtde_nos_ant,qtde_nos_dps,grau_max_ant,grau_max_dps,r_ant,r_dps
pl_grg_00100_0.al,1,0,1.0001659393310547,94,62,16,15,23026,23026
pl_grg_00100_0.al,1,1,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,1,2,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,1,3,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,1,4,0.0,94,62,16,15,23026,23026
pl_grg_00100_1.al,1,0,0.0,94,47,14,13,23026,23026
pl_grg_00100_1.al,1,1,1.0001659393310547,94,47,14,13,23026,23026
pl_grg_00100_1.al,1,2,0.0,94,47,14,13,23026,23026
pl_grg_00100_1.al,1,3,0.0,94,47,14,13,23026,23026
pl_grg_00100_1.al,1,4,0.0,94,47,14,13,23026,23026
pl_grg_00100_2.al,1,0,0.0,94,53,12,8,23026,18421
pl_grg_00100_2.al,1,1,0.0,94,53,12,8,23026,18421
pl_grg_00100_2.al,1,2,0.0,94,53,12,8,23026,18421
pl_grg_00100_2.al,1,3,1.0001659393310547,94,53,12,8,23026,18421
pl_grg_00100_2.al,1,4,0.0,94,53,12,8,23026,18421
pl_grg_00100_3.al,1,0,0.0,94,59,10,9,23026,23026
pl_grg_00100_3.al,1,1,0.0,94,59,10,9,23026,23026
pl_grg_00100_3.al,1,2,0.0,94,59,10,9,23026,23026
pl_grg_00100_3.al,1,3,0.0,94,59,10,9,23026,23026
pl_grg_00100_3.al,1,4,0.0,94,59,10,9,23026,23026
pl_grg_00100_4.al,1,0,0.0,94,54,9,9,23026,23026
pl_grg_00100_4.al,1,1,0.0,94,54,9,9,23026,23026
pl_grg_00100_4.al,1,2,0.0,94,54,9,9,23026,23026
pl_grg_00100_4.al,1,3,0.0,94,54,9,9,23026,23026
pl_grg_00100_4.al,1,4,0.0,94,54,9,9,23026,23026
pl_grg_00250_0.al,1,0,0.0,240,143,17,16,27632,23026
pl_grg_00250_0.al,1,1,0.0,240,143,17,16,27632,23026
pl_grg_00250_0.al,1,2,0.0,240,143,17,16,27632,23026
